Repository,Issue #,Amount,Currency,Payee,Type,URL
.github,30,200,DAI,sergfeldman,assignee,https://github.com/Ubiquity/.github/issues/30
.github,33,200,DAI,Hodlatoor,assignee,https://github.com/Ubiquity/.github/issues/33
.github,35,100,DAI,sergfeldman,assignee,https://github.com/Ubiquity/.github/issues/35
.github,37,100,DAI,Hodlatoor,assignee,https://github.com/Ubiquity/.github/issues/37
.github,49,400,DAI,sergfeldman,assignee,https://github.com/Ubiquity/.github/issues/49
.github,50,400,DAI,sergfeldman,assignee,https://github.com/Ubiquity/.github/issues/50
.github,53,400,DAI,sergfeldman,assignee,https://github.com/Ubiquity/.github/issues/53
.github,56,400,DAI,sergfeldman,assignee,https://github.com/Ubiquity/.github/issues/56
.github,57,400,DAI,sergfeldman,assignee,https://github.com/Ubiquity/.github/issues/57
.github,61,100,DAI,Draeieg,assignee,https://github.com/Ubiquity/.github/issues/61
.github,81,400,WXDAI,sergfeldman,assignee,https://github.com/Ubiquity/.github/issues/81
action-conventional-commits,1,25,WXDAI,PhantomCracker,assignee,https://github.com/Ubiquity/action-conventional-commits/issues/1
action-conventional-commits,2,50,WXDAI,PhantomCracker,assignee,https://github.com/Ubiquity/action-conventional-commits/issues/2
action-conventional-commits,3,25,WXDAI,PhantomCracker,assignee,https://github.com/Ubiquity/action-conventional-commits/issues/3
action-conventional-commits,5,25,WXDAI,PhantomCracker,assignee,https://github.com/Ubiquity/action-conventional-commits/issues/5
business-development,2,400,DAI,Hodlatoor,assignee,https://github.com/Ubiquity/business-development/issues/2
business-development,4,100,DAI,Hodlatoor,assignee,https://github.com/Ubiquity/business-development/issues/4
business-development,11,200,DAI,Hodlatoor,assignee,https://github.com/Ubiquity/business-development/issues/11
business-development,27,200,WXDAI,diamondnegroni,assignee,https://github.com/Ubiquity/business-development/issues/27
business-development,35,200,WXDAI,No assignee,assignee,https://github.com/Ubiquity/business-development/issues/35
business-development,38,300,WXDAI,No assignee,assignee,https://github.com/Ubiquity/business-development/issues/38
business-development,48,100,WXDAI,sergfeldman,assignee,https://github.com/Ubiquity/business-development/issues/48
business-development,50,100,WXDAI,sergfeldman,assignee,https://github.com/Ubiquity/business-development/issues/50
business-development,60,300,WXDAI,Hodlatoor,assignee,https://github.com/Ubiquity/business-development/issues/60
business-development,60,4.2,WXDAI,Hodlatoor,creator,https://github.com/Ubiquity/business-development/issues/60
business-development,60,13.9,WXDAI,Hodlatoor,conversation,https://github.com/Ubiquity/business-development/issues/60
business-development,62,200,WXDAI,Hodlatoor,assignee,https://github.com/Ubiquity/business-development/issues/62
devpool-directory-bounties,2,100,WXDAI,gitcoindev,assignee,https://github.com/Ubiquity/devpool-directory-bounties/issues/2
devpool-directory-bounties,2,111.6,WXDAI,rndquu,creator,https://github.com/Ubiquity/devpool-directory-bounties/issues/2
devpool-directory-bounties,5,200,WXDAI,gitcoindev,assignee,https://github.com/Ubiquity/devpool-directory-bounties/issues/5
devpool-directory-bounties,5,87.3,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/devpool-directory-bounties/issues/5
devpool-directory-bounties,8,200,WXDAI,harjaapdhillon16,assignee,https://github.com/Ubiquity/devpool-directory-bounties/issues/8
devpool-directory-bounties,10,100,WXDAI,devpanther,assignee,https://github.com/Ubiquity/devpool-directory-bounties/issues/10
pay.ubq.fi,15,200,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/15
pay.ubq.fi,21,200,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/21
pay.ubq.fi,22,37.5,DAI,rndquu,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/22
pay.ubq.fi,26,300,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/26
pay.ubq.fi,27,12.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/27
pay.ubq.fi,28,100,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/28
pay.ubq.fi,29,400,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/29
pay.ubq.fi,36,400,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/36
pay.ubq.fi,37,12.5,DAI,seprintour,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/37
pay.ubq.fi,40,100,DAI,devpanther,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/40
pay.ubq.fi,45,12.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/45
pay.ubq.fi,46,37.5,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/46
pay.ubq.fi,49,12.5,DAI,seprintour,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/49
pay.ubq.fi,52,37.5,DAI,pavlovcik,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/52
pay.ubq.fi,55,12.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/55
pay.ubq.fi,59,50,DAI,rndquu,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/59
pay.ubq.fi,60,300,WXDAI,Venoox,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/60
pay.ubq.fi,64,25,WXDAI,Venoox,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/64
pay.ubq.fi,68,37.5,WXDAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/68
pay.ubq.fi,68,91.6,WXDAI,rndquu,creator,https://github.com/Ubiquity/pay.ubq.fi/issues/68
pay.ubq.fi,69,400,WXDAI,Venoox,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/69
pay.ubq.fi,75,25,WXDAI,rndquu,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/75
pay.ubq.fi,86,37.5,DAI,devpanther,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/86
pay.ubq.fi,97,12.5,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/97
pay.ubq.fi,100,300,WXDAI,devpanther,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/100
pay.ubq.fi,101,200,WXDAI,devpanther,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/101
pay.ubq.fi,104,12.5,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/104
pay.ubq.fi,121,37.5,WXDAI,Steveantor,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/121
pay.ubq.fi,121,70.8,WXDAI,rndquu,creator,https://github.com/Ubiquity/pay.ubq.fi/issues/121
pay.ubq.fi,121,3,WXDAI,Steveantor,conversation,https://github.com/Ubiquity/pay.ubq.fi/issues/121
pay.ubq.fi,126,100,WXDAI,gitcoindev,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/126
pay.ubq.fi,126,45.9,WXDAI,rndquu,creator,https://github.com/Ubiquity/pay.ubq.fi/issues/126
pay.ubq.fi,134,12.5,WXDAI,No assignee,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/134
pay.ubq.fi,134,45.9,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/pay.ubq.fi/issues/134
pay.ubq.fi,142,300,WXDAI,Keyrxng,assignee,https://github.com/Ubiquity/pay.ubq.fi/issues/142
pay.ubq.fi,142,109.2,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/pay.ubq.fi/issues/142
research,34,41.4,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/research/issues/34
research,40,200,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/research/issues/40
research,41,12.5,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/research/issues/41
research,112,75,WXDAI,sergfeldman,assignee,https://github.com/Ubiquity/research/issues/112
research,112,27.3,WXDAI,sergfeldman,creator,https://github.com/Ubiquity/research/issues/112
scraper-kernel,1,100,WXDAI,gitcoindev,assignee,https://github.com/Ubiquity/scraper-kernel/issues/1
scraper-kernel,1,12.6,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/scraper-kernel/issues/1
scraper-kernel,6,300,WXDAI,molecula451,assignee,https://github.com/Ubiquity/scraper-kernel/issues/6
sponsorships,4,50,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/sponsorships/issues/4
sponsorships,4,45.8,WXDAI,pavlovcik,conversation,https://github.com/Ubiquity/sponsorships/issues/4
sponsorships,9,200,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/sponsorships/issues/9
sponsorships,9,2.2,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/sponsorships/issues/9
ts-template,1,400,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ts-template/issues/1
ts-template,6,200,WXDAI,whilefoo,assignee,https://github.com/Ubiquity/ts-template/issues/6
ubiquibar,25,3.15,WXDAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibar/issues/25
ubiquibar,25,12,WXDAI,0xcodercrane,creator,https://github.com/Ubiquity/ubiquibar/issues/25
ubiquibar,28,4.2,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/ubiquibar/issues/28
ubiquibar,32,4,WXDAI,rndquu,assignee,https://github.com/Ubiquity/ubiquibar/issues/32
ubiquibar,32,12,WXDAI,rndquu,creator,https://github.com/Ubiquity/ubiquibar/issues/32
ubiquibar,33,4,WXDAI,rndquu2,assignee,https://github.com/Ubiquity/ubiquibar/issues/33
ubiquibar,33,12,WXDAI,rndquu2,creator,https://github.com/Ubiquity/ubiquibar/issues/33
ubiquibar,34,4,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/ubiquibar/issues/34
ubiquibar,35,4,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/ubiquibar/issues/35
ubiquibar,35,12,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibar/issues/35
ubiquibar,36,4,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/ubiquibar/issues/36
ubiquibar,36,18,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibar/issues/36
ubiquibot,96,40.65,WXDAI,pavlovcik,conversation,https://github.com/Ubiquity/ubiquibot/issues/96
ubiquibot,128,75,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/128
ubiquibot,128,24.9,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibot/issues/128
ubiquibot,134,12.5,DAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/134
ubiquibot,158,50,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/158
ubiquibot,159,12.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/159
ubiquibot,160,50,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/160
ubiquibot,170,12.5,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/170
ubiquibot,175,50,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/175
ubiquibot,177,12.5,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/177
ubiquibot,192,37.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/192
ubiquibot,194,12.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/194
ubiquibot,203,37.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/203
ubiquibot,207,25,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/207
ubiquibot,216,37.5,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/216
ubiquibot,221,200,DAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/221
ubiquibot,225,200,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/225
ubiquibot,227,12.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/227
ubiquibot,230,37.5,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/230
ubiquibot,233,200,DAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/233
ubiquibot,234,56.25,WXDAI,No assignee,assignee,https://github.com/Ubiquity/ubiquibot/issues/234
ubiquibot,241,300,DAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/241
ubiquibot,243,200,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/243
ubiquibot,245,200,DAI,seprintour,assignee,https://github.com/Ubiquity/ubiquibot/issues/245
ubiquibot,252,18.75,WXDAI,EtherealGlow,assignee,https://github.com/Ubiquity/ubiquibot/issues/252
ubiquibot,253,50,DAI,seprintour,assignee,https://github.com/Ubiquity/ubiquibot/issues/253
ubiquibot,260,100,DAI,No assignee,assignee,https://github.com/Ubiquity/ubiquibot/issues/260
ubiquibot,262,300,DAI,Steveantor,assignee,https://github.com/Ubiquity/ubiquibot/issues/262
ubiquibot,268,400,DAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/268
ubiquibot,269,200,DAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/269
ubiquibot,272,600,DAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/272
ubiquibot,278,200,DAI,No assignee,assignee,https://github.com/Ubiquity/ubiquibot/issues/278
ubiquibot,283,50,DAI,rndquu,assignee,https://github.com/Ubiquity/ubiquibot/issues/283
ubiquibot,285,50,DAI,rndquu,assignee,https://github.com/Ubiquity/ubiquibot/issues/285
ubiquibot,288,600,DAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/288
ubiquibot,290,450,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/290
ubiquibot,291,300,WXDAI,No assignee,assignee,https://github.com/Ubiquity/ubiquibot/issues/291
ubiquibot,291,67.6,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibot/issues/291
ubiquibot,291,13.5,WXDAI,Keyrxng,conversation,https://github.com/Ubiquity/ubiquibot/issues/291
ubiquibot,298,150,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/298
ubiquibot,302,18.75,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/302
ubiquibot,307,56.25,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/307
ubiquibot,310,900,WXDAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/310
ubiquibot,311,450,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/311
ubiquibot,313,56.25,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/313
ubiquibot,315,18.75,WXDAI,sweetapplepumpkinpie,assignee,https://github.com/Ubiquity/ubiquibot/issues/315
ubiquibot,323,37.5,WXDAI,EtherealGlow,assignee,https://github.com/Ubiquity/ubiquibot/issues/323
ubiquibot,323,4.8,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibot/issues/323
ubiquibot,325,37.5,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/325
ubiquibot,327,56.25,WXDAI,Venoox,assignee,https://github.com/Ubiquity/ubiquibot/issues/327
ubiquibot,329,450,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/329
ubiquibot,340,18.75,WXDAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/340
ubiquibot,341,450,WXDAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/341
ubiquibot,342,75,DAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/342
ubiquibot,353,56.25,WXDAI,Venoox,assignee,https://github.com/Ubiquity/ubiquibot/issues/353
ubiquibot,355,450,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/355
ubiquibot,357,300,WXDAI,EtherealGlow,assignee,https://github.com/Ubiquity/ubiquibot/issues/357
ubiquibot,358,18.75,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/358
ubiquibot,361,93.75,DAI,seprintour,assignee,https://github.com/Ubiquity/ubiquibot/issues/361
ubiquibot,375,300,WXDAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/375
ubiquibot,376,37.5,WXDAI,sweetapplepumpkinpie,assignee,https://github.com/Ubiquity/ubiquibot/issues/376
ubiquibot,379,18.75,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/379
ubiquibot,388,18.75,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/388
ubiquibot,390,37.5,WXDAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/390
ubiquibot,391,75,WXDAI,Draeieg,assignee,https://github.com/Ubiquity/ubiquibot/issues/391
ubiquibot,402,300,WXDAI,pavlovcik,assignee,https://github.com/Ubiquity/ubiquibot/issues/402
ubiquibot,403,300,WXDAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/403
ubiquibot,404,56.25,WXDAI,0xcodercrane,assignee,https://github.com/Ubiquity/ubiquibot/issues/404
ubiquibot,407,37.5,WXDAI,starlitnightsky,assignee,https://github.com/Ubiquity/ubiquibot/issues/407
ubiquibot,408,450,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/408
ubiquibot,410,150,WXDAI,web4er,assignee,https://github.com/Ubiquity/ubiquibot/issues/410
ubiquibot,412,75,WXDAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/412
ubiquibot,419,18.75,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/419
ubiquibot,423,18.75,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/423
ubiquibot,424,900,WXDAI,seprintour,assignee,https://github.com/Ubiquity/ubiquibot/issues/424
ubiquibot,428,150,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/428
ubiquibot,431,56.25,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/431
ubiquibot,431,55.6,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibot/issues/431
ubiquibot,439,450,WXDAI,No assignee,assignee,https://github.com/Ubiquity/ubiquibot/issues/439
ubiquibot,440,450,WXDAI,web4er,assignee,https://github.com/Ubiquity/ubiquibot/issues/440
ubiquibot,444,300,WXDAI,wannacfuture,assignee,https://github.com/Ubiquity/ubiquibot/issues/444
ubiquibot,446,56.25,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/446
ubiquibot,460,75,WXDAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/460
ubiquibot,467,18.75,WXDAI,aditygrg2,assignee,https://github.com/Ubiquity/ubiquibot/issues/467
ubiquibot,468,300,WXDAI,No assignee,assignee,https://github.com/Ubiquity/ubiquibot/issues/468
ubiquibot,474,18.75,WXDAI,b4s36t4,assignee,https://github.com/Ubiquity/ubiquibot/issues/474
ubiquibot,477,56.25,WXDAI,devpanther,assignee,https://github.com/Ubiquity/ubiquibot/issues/477
ubiquibot,479,150,WXDAI,whilefoo,assignee,https://github.com/Ubiquity/ubiquibot/issues/479
ubiquibot,483,37.5,WXDAI,Venoox,assignee,https://github.com/Ubiquity/ubiquibot/issues/483
ubiquibot,488,900,WXDAI,byteballet,assignee,https://github.com/Ubiquity/ubiquibot/issues/488
ubiquibot,488,209.6,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibot/issues/488
ubiquibot,489,37.5,WXDAI,No assignee,assignee,https://github.com/Ubiquity/ubiquibot/issues/489
ubiquibot,491,37.5,WXDAI,b4s36t4,assignee,https://github.com/Ubiquity/ubiquibot/issues/491
ubiquibot,493,37.5,WXDAI,EtherealGlow,assignee,https://github.com/Ubiquity/ubiquibot/issues/493
ubiquibot,494,18.75,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/494
ubiquibot,495,37.5,WXDAI,byteballet,assignee,https://github.com/Ubiquity/ubiquibot/issues/495
ubiquibot,495,53.6,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibot/issues/495
ubiquibot,495,0.45,WXDAI,EtherealGlow,conversation,https://github.com/Ubiquity/ubiquibot/issues/495
ubiquibot,496,450,WXDAI,whilefoo,assignee,https://github.com/Ubiquity/ubiquibot/issues/496
ubiquibot,497,37.5,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/497
ubiquibot,500,450,WXDAI,No assignee,assignee,https://github.com/Ubiquity/ubiquibot/issues/500
ubiquibot,502,18.75,WXDAI,web4er,assignee,https://github.com/Ubiquity/ubiquibot/issues/502
ubiquibot,503,18.75,WXDAI,BeanieMen,assignee,https://github.com/Ubiquity/ubiquibot/issues/503
ubiquibot,503,16,WXDAI,pavlovcik,creator,https://github.com/Ubiquity/ubiquibot/issues/503
